CURRENCY,CODE,IS_RATE,BS_RATE,DATE,SOURCE,CREATED_BY,INGESTION_TS
United Arab Emirates Dirham,AED,0.371363,0.371363,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Netherlands Antilles Guilder,ANG,0.761927,0.761927,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Argentine Peso,ARS,0.000963,0.000963,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Australian Dollar,AUD,0.971948,0.971948,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Barbados Dollar,BBD,0.681925,0.681925,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Bermuda Dollar,BMD,1.363851,1.363851,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Brunei Dollar,BND,1.078271,1.078271,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Brazilian Real,BRL,0.265943,0.265943,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Bahamian Dollar,BSD,1.363851,1.363851,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Belize Dollar,BZD,0.681925,0.681925,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Swiss Franc,CHF,1.773421,1.773421,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Chilean Peso,CLP,0.00156,0.00156,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Chinese Renminbi (Offshore),CNH,0.198786,0.198786,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Chinese Yuan Renminbi,CNY,0.198937,0.198937,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Columbian Peso,COP,0.000363,0.000363,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Cuban Peso,CUP,0.056827,0.056827,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Czech Koruna,CZK,0.066473,0.066473,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Danish Krone,DKK,0.215526,0.215526,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Dominican Republic Peso,DOP,0.022599,0.022599,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Egyptian Pound,EGP,0.028443,0.028443,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
European Monetary Unit,EUR,1.610298,1.610298,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Pound Sterling,GBP,1.833628,1.833628,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Guyana Dollar,GYD,0.006514,0.006514,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Hong Kong Dollar,HKD,0.174357,0.174357,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Haitian Gourde,HTG,0.010429,0.010429,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Hungarian Forint,HUF,0.004273,0.004273,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Indonesian Rupiah,IDR,0.000081,0.000081,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
Israeli Shekel,ILS,0.434991,0.434991,28-Feb-26,IFS Web @ 2026-03-23,ADB,2026-03-23T13:39:53.13205Z
